# Tuning hyper-parameters for precision

Best parameters set found on development set:
{'learning_rate': 0.1, 'max_depth': 10, 'n_estimators': 200}
0.876 (+/-0.030) for {'learning_rate': 0.5, 'max_depth': 10, 'n_estimators': 300}
0.876 (+/-0.033) for {'learning_rate': 0.5, 'max_depth': 10, 'n_estimators': 400}
0.876 (+/-0.034) for {'learning_rate': 0.5, 'max_depth': 10, 'n_estimators': 500}
0.871 (+/-0.027) for {'learning_rate': 0.5, 'max_depth': 15, 'n_estimators': 50}
0.870 (+/-0.026) for {'learning_rate': 0.5, 'max_depth': 15, 'n_estimators': 100}
0.871 (+/-0.026) for {'learning_rate': 0.5, 'max_depth': 15, 'n_estimators': 200}
0.870 (+/-0.026) for {'learning_rate': 0.5, 'max_depth': 15, 'n_estimators': 250}
0.871 (+/-0.028) for {'learning_rate': 0.5, 'max_depth': 15, 'n_estimators': 300}
0.869 (+/-0.026) for {'learning_rate': 0.5, 'max_depth': 15, 'n_estimators': 400}
0.871 (+/-0.029) for {'learning_rate': 0.5, 'max_depth': 15, 'n_estimators': 500}
0.857 (+/-0.030) for {'learning_rate': 1, 'max_depth': 5, 'n_estimators': 50}
0.864 (+/-0.038) for {'learning_rate': 1, 'max_depth': 5, 'n_estimators': 100}
0.873 (+/-0.036) for {'learning_rate': 1, 'max_depth': 5, 'n_estimators': 200}
0.872 (+/-0.038) for {'learning_rate': 1, 'max_depth': 5, 'n_estimators': 250}
0.874 (+/-0.037) for {'learning_rate': 1, 'max_depth': 5, 'n_estimators': 300}
0.872 (+/-0.034) for {'learning_rate': 1, 'max_depth': 5, 'n_estimators': 400}
0.873 (+/-0.033) for {'learning_rate': 1, 'max_depth': 5, 'n_estimators': 500}
0.867 (+/-0.030) for {'learning_rate': 1, 'max_depth': 10, 'n_estimators': 50}
0.866 (+/-0.032) for {'learning_rate': 1, 'max_depth': 10, 'n_estimators': 100}
0.870 (+/-0.027) for {'learning_rate': 1, 'max_depth': 10, 'n_estimators': 200}
0.870 (+/-0.030) for {'learning_rate': 1, 'max_depth': 10, 'n_estimators': 250}
0.870 (+/-0.029) for {'learning_rate': 1, 'max_depth': 10, 'n_estimators': 300}
0.868 (+/-0.031) for {'learning_rate': 1, 'max_depth': 10, 'n_estimators': 400}
0.868 (+/-0.032) for {'learning_rate': 1, 'max_depth': 10, 'n_estimators': 500}
0.869 (+/-0.031) for {'learning_rate': 1, 'max_depth': 15, 'n_estimators': 50}
0.870 (+/-0.032) for {'learning_rate': 1, 'max_depth': 15, 'n_estimators': 100}
0.872 (+/-0.031) for {'learning_rate': 1, 'max_depth': 15, 'n_estimators': 200}
0.872 (+/-0.031) for {'learning_rate': 1, 'max_depth': 15, 'n_estimators': 250}
0.873 (+/-0.032) for {'learning_rate': 1, 'max_depth': 15, 'n_estimators': 300}
0.872 (+/-0.031) for {'learning_rate': 1, 'max_depth': 15, 'n_estimators': 400}
0.872 (+/-0.030) for {'learning_rate': 1, 'max_depth': 15, 'n_estimators': 500}
# Tuning hyper-parameters for recall

Best parameters set found on development set:
{'learning_rate': 0.01, 'max_depth': 10, 'n_estimators': 500}
----------
Grid scores on development set:
0.873 (+/-0.050) for {'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 50}
0.880 (+/-0.035) for {'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 100}
0.885 (+/-0.032) for {'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 200}
0.886 (+/-0.038) for {'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 250}
0.889 (+/-0.035) for {'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 300}
0.892 (+/-0.033) for {'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 400}
0.893 (+/-0.039) for {'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 500}
0.889 (+/-0.030) for {'learning_rate': 0.01, 'max_depth': 10, 'n_estimators': 50}
0.897 (+/-0.035) for {'learning_rate': 0.01, 'max_depth': 10, 'n_estimators': 100}
0.903 (+/-0.042) for {'learning_rate': 0.01, 'max_depth': 10, 'n_estimators': 200}
0.905 (+/-0.042) for {'learning_rate': 0.01, 'max_depth': 10, 'n_estimators': 250}
0.904 (+/-0.040) for {'learning_rate': 0.01, 'max_depth': 10, 'n_estimators': 300}
0.905 (+/-0.029) for {'learning_rate': 0.01, 'max_depth': 10, 'n_estimators': 400}
0.906 (+/-0.027) for {'learning_rate': 0.01, 'max_depth': 10, 'n_estimators': 500}
0.881 (+/-0.054) for {'learning_rate': 0.01, 'max_depth': 15, 'n_estimators': 50}
0.887 (+/-0.044) for {'learning_rate': 0.01, 'max_depth': 15, 'n_estimators': 100}
0.892 (+/-0.034) for {'learning_rate': 0.01, 'max_depth': 15, 'n_estimators': 200}
0.892 (+/-0.033) for {'learning_rate': 0.01, 'max_depth': 15, 'n_estimators': 250}
0.893 (+/-0.031) for {'learning_rate': 0.01, 'max_depth': 15, 'n_estimators': 300}
0.892 (+/-0.031) for {'learning_rate': 0.01, 'max_depth': 15, 'n_estimators': 400}
0.894 (+/-0.030) for {'learning_rate': 0.01, 'max_depth': 15, 'n_estimators': 500}
0.892 (+/-0.038) for {'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 50}
0.896 (+/-0.040) for {'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 100}
0.900 (+/-0.037) for {'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 200}
0.902 (+/-0.039) for {'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 250}
0.900 (+/-0.035) for {'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 300}
0.900 (+/-0.033) for {'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 400}
0.897 (+/-0.030) for {'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 500}
0.897 (+/-0.037) for {'learning_rate': 0.1, 'max_depth': 10, 'n_estimators': 50}
0.895 (+/-0.030) for {'learning_rate': 0.1, 'max_depth': 10, 'n_estimators': 100}
0.898 (+/-0.030) for {'learning_rate': 0.1, 'max_depth': 10, 'n_estimators': 200}
0.895 (+/-0.031) for {'learning_rate': 0.1, 'max_depth': 10, 'n_estimators': 250}
0.897 (+/-0.031) for {'learning_rate': 0.1, 'max_depth': 10, 'n_estimators': 300}
0.896 (+/-0.030) for {'learning_rate': 0.1, 'max_depth': 10, 'n_estimators': 400}
0.895 (+/-0.035) for {'learning_rate': 0.1, 'max_depth': 10, 'n_estimators': 500}
0.892 (+/-0.035) for {'learning_rate': 0.1, 'max_depth': 15, 'n_estimators': 50}
0.894 (+/-0.030) for {'learning_rate': 0.1, 'max_depth': 15, 'n_estimators': 100}
0.893 (+/-0.027) for {'learning_rate': 0.1, 'max_depth': 15, 'n_estimators': 200}
0.893 (+/-0.026) for {'learning_rate': 0.1, 'max_depth': 15, 'n_estimators': 250}
0.892 (+/-0.028) for {'learning_rate': 0.1, 'max_depth': 15, 'n_estimators': 300}
0.893 (+/-0.027) for {'learning_rate': 0.1, 'max_depth': 15, 'n_estimators': 400}
0.893 (+/-0.029) for {'learning_rate': 0.1, 'max_depth': 15, 'n_estimators': 500}
0.884 (+/-0.037) for {'learning_rate': 0.5, 'max_depth': 5, 'n_estimators': 50}
0.884 (+/-0.032) for {'learning_rate': 0.5, 'max_depth': 5, 'n_estimators': 100}
0.888 (+/-0.038) for {'learning_rate': 0.5, 'max_depth': 5, 'n_estimators': 200}
0.891 (+/-0.038) for {'learning_rate': 0.5, 'max_depth': 5, 'n_estimators': 250}
0.891 (+/-0.033) for {'learning_rate': 0.5, 'max_depth': 5, 'n_estimators': 300}
0.892 (+/-0.033) for {'learning_rate': 0.5, 'max_depth': 5, 'n_estimators': 400}
0.888 (+/-0.041) for {'learning_rate': 0.5, 'max_depth': 5, 'n_estimators': 500}
0.885 (+/-0.028) for {'learning_rate': 0.5, 'max_depth': 10, 'n_estimators': 50}
0.889 (+/-0.026) for {'learning_rate': 0.5, 'max_depth': 10, 'n_estimators': 100}
0.889 (+/-0.037) for {'learning_rate': 0.5, 'max_depth': 10, 'n_estimators': 200}
0.890 (+/-0.034) for {'learning_rate': 0.5, 'max_depth': 10, 'n_estimators': 250}
0.891 (+/-0.034) for {'learning_rate': 0.5, 'max_depth': 10, 'n_estimators': 300}
0.888 (+/-0.035) for {'learning_rate': 0.5, 'max_depth': 10, 'n_estimators': 400}
0.889 (+/-0.035) for {'learning_rate': 0.5, 'max_depth': 10, 'n_estimators': 500}
0.890 (+/-0.032) for {'learning_rate': 0.5, 'max_depth': 15, 'n_estimators': 50}
0.889 (+/-0.035) for {'learning_rate': 0.5, 'max_depth': 15, 'n_estimators': 100}
0.889 (+/-0.029) for {'learning_rate': 0.5, 'max_depth': 15, 'n_estimators': 200}
0.893 (+/-0.030) for {'learning_rate': 0.5, 'max_depth': 15, 'n_estimators': 250}
0.890 (+/-0.031) for {'learning_rate': 0.5, 'max_depth': 15, 'n_estimators': 300}
0.891 (+/-0.029) for {'learning_rate': 0.5, 'max_depth': 15, 'n_estimators': 400}
0.890 (+/-0.029) for {'learning_rate': 0.5, 'max_depth': 15, 'n_estimators': 500}
0.881 (+/-0.039) for {'learning_rate': 1, 'max_depth': 5, 'n_estimators': 50}
0.884 (+/-0.032) for {'learning_rate': 1, 'max_depth': 5, 'n_estimators': 100}
0.889 (+/-0.022) for {'learning_rate': 1, 'max_depth': 5, 'n_estimators': 200}
0.892 (+/-0.024) for {'learning_rate': 1, 'max_depth': 5, 'n_estimators': 250}
0.890 (+/-0.025) for {'learning_rate': 1, 'max_depth': 5, 'n_estimators': 300}
0.892 (+/-0.028) for {'learning_rate': 1, 'max_depth': 5, 'n_estimators': 400}
0.892 (+/-0.028) for {'learning_rate': 1, 'max_depth': 5, 'n_estimators': 500}
0.885 (+/-0.027) for {'learning_rate': 1, 'max_depth': 10, 'n_estimators': 50}
0.886 (+/-0.020) for {'learning_rate': 1, 'max_depth': 10, 'n_estimators': 100}
0.892 (+/-0.018) for {'learning_rate': 1, 'max_depth': 10, 'n_estimators': 200}
0.892 (+/-0.020) for {'learning_rate': 1, 'max_depth': 10, 'n_estimators': 250}
0.892 (+/-0.019) for {'learning_rate': 1, 'max_depth': 10, 'n_estimators': 300}
0.892 (+/-0.018) for {'learning_rate': 1, 'max_depth': 10, 'n_estimators': 400}
0.893 (+/-0.017) for {'learning_rate': 1, 'max_depth': 10, 'n_estimators': 500}
0.888 (+/-0.029) for {'learning_rate': 1, 'max_depth': 15, 'n_estimators': 50}
0.889 (+/-0.035) for {'learning_rate': 1, 'max_depth': 15, 'n_estimators': 100}
0.890 (+/-0.031) for {'learning_rate': 1, 'max_depth': 15, 'n_estimators': 200}
0.891 (+/-0.028) for {'learning_rate': 1, 'max_depth': 15, 'n_estimators': 250}
0.890 (+/-0.030) for {'learning_rate': 1, 'max_depth': 15, 'n_estimators': 300}
0.890 (+/-0.029) for {'learning_rate': 1, 'max_depth': 15, 'n_estimators': 400}
0.891 (+/-0.028) for {'learning_rate': 1, 'max_depth': 15, 'n_estimators': 500}
# Tuning hyper-parameters for f1

Best parameters set found on development set:
{'learning_rate': 0.1, 'max_depth': 10, 'n_estimators': 200}
----------
Grid scores on development set:
0.806 (+/-0.036) for {'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 50}
0.820 (+/-0.026) for {'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 100}
0.840 (+/-0.026) for {'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 200}
0.845 (+/-0.030) for {'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 250}
0.850 (+/-0.029) for {'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 300}
0.857 (+/-0.030) for {'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 400}
0.861 (+/-0.033) for {'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 500}
0.846 (+/-0.040) for {'learning_rate': 0.01, 'max_depth': 10, 'n_estimators': 50}
0.865 (+/-0.034) for {'learning_rate': 0.01, 'max_depth': 10, 'n_estimators': 100}
0.877 (+/-0.030) for {'learning_rate': 0.01, 'max_depth': 10, 'n_estimators': 200}
0.879 (+/-0.030) for {'learning_rate': 0.01, 'max_depth': 10, 'n_estimators': 250}
0.880 (+/-0.027) for {'learning_rate': 0.01, 'max_depth': 10, 'n_estimators': 300}
0.884 (+/-0.022) for {'learning_rate': 0.01, 'max_depth': 10, 'n_estimators': 400}
0.885 (+/-0.021) for {'learning_rate': 0.01, 'max_depth': 10, 'n_estimators': 500}
0.855 (+/-0.042) for {'learning_rate': 0.01, 'max_depth': 15, 'n_estimators': 50}
0.866 (+/-0.038) for {'learning_rate': 0.01, 'max_depth': 15, 'n_estimators': 100}
0.878 (+/-0.030) for {'learning_rate': 0.01, 'max_depth': 15, 'n_estimators': 200}
0.881 (+/-0.031) for {'learning_rate': 0.01, 'max_depth': 15, 'n_estimators': 250}
0.882 (+/-0.030) for {'learning_rate': 0.01, 'max_depth': 15, 'n_estimators': 300}
0.882 (+/-0.026) for {'learning_rate': 0.01, 'max_depth': 15, 'n_estimators': 400}
0.885 (+/-0.024) for {'learning_rate': 0.01, 'max_depth': 15, 'n_estimators': 500}
0.859 (+/-0.027) for {'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 50}
0.873 (+/-0.031) for {'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 100}
0.880 (+/-0.024) for {'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 200}
0.883 (+/-0.024) for {'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 250}
0.882 (+/-0.021) for {'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 300}
0.885 (+/-0.023) for {'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 400}
0.886 (+/-0.023) for {'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 500}
0.882 (+/-0.032) for {'learning_rate': 0.1, 'max_depth': 10, 'n_estimators': 50}
0.884 (+/-0.029) for {'learning_rate': 0.1, 'max_depth': 10, 'n_estimators': 100}
0.888 (+/-0.025) for {'learning_rate': 0.1, 'max_depth': 10, 'n_estimators': 200}
0.886 (+/-0.023) for {'learning_rate': 0.1, 'max_depth': 10, 'n_estimators': 250}
0.887 (+/-0.023) for {'learning_rate': 0.1, 'max_depth': 10, 'n_estimators': 300}
0.886 (+/-0.022) for {'learning_rate': 0.1, 'max_depth': 10, 'n_estimators': 400}
0.885 (+/-0.027) for {'learning_rate': 0.1, 'max_depth': 10, 'n_estimators': 500}
0.884 (+/-0.027) for {'learning_rate': 0.1, 'max_depth': 15, 'n_estimators': 50}
0.885 (+/-0.025) for {'learning_rate': 0.1, 'max_depth': 15, 'n_estimators': 100}
0.885 (+/-0.030) for {'learning_rate': 0.1, 'max_depth': 15, 'n_estimators': 200}
0.886 (+/-0.028) for {'learning_rate': 0.1, 'max_depth': 15, 'n_estimators': 250}
0.884 (+/-0.030) for {'learning_rate': 0.1, 'max_depth': 15, 'n_estimators': 300}
0.883 (+/-0.029) for {'learning_rate': 0.1, 'max_depth': 15, 'n_estimators': 400}
0.884 (+/-0.028) for {'learning_rate': 0.1, 'max_depth': 15, 'n_estimators': 500}
0.869 (+/-0.024) for {'learning_rate': 0.5, 'max_depth': 5, 'n_estimators': 50}
0.873 (+/-0.019) for {'learning_rate': 0.5, 'max_depth': 5, 'n_estimators': 100}
0.879 (+/-0.018) for {'learning_rate': 0.5, 'max_depth': 5, 'n_estimators': 200}
0.879 (+/-0.021) for {'learning_rate': 0.5, 'max_depth': 5, 'n_estimators': 250}
0.880 (+/-0.021) for {'learning_rate': 0.5, 'max_depth': 5, 'n_estimators': 300}
0.881 (+/-0.025) for {'learning_rate': 0.5, 'max_depth': 5, 'n_estimators': 400}
0.879 (+/-0.026) for {'learning_rate': 0.5, 'max_depth': 5, 'n_estimators': 500}
0.878 (+/-0.017) for {'learning_rate': 0.5, 'max_depth': 10, 'n_estimators': 50}
0.883 (+/-0.018) for {'learning_rate': 0.5, 'max_depth': 10, 'n_estimators': 100}
0.882 (+/-0.023) for {'learning_rate': 0.5, 'max_depth': 10, 'n_estimators': 200}
0.883 (+/-0.023) for {'learning_rate': 0.5, 'max_depth': 10, 'n_estimators': 250}
0.883 (+/-0.021) for {'learning_rate': 0.5, 'max_depth': 10, 'n_estimators': 300}
0.882 (+/-0.020) for {'learning_rate': 0.5, 'max_depth': 10, 'n_estimators': 400}
0.882 (+/-0.020) for {'learning_rate': 0.5, 'max_depth': 10, 'n_estimators': 500}
0.880 (+/-0.025) for {'learning_rate': 0.5, 'max_depth': 15, 'n_estimators': 50}
0.879 (+/-0.024) for {'learning_rate': 0.5, 'max_depth': 15, 'n_estimators': 100}
0.880 (+/-0.021) for {'learning_rate': 0.5, 'max_depth': 15, 'n_estimators': 200}
0.881 (+/-0.019) for {'learning_rate': 0.5, 'max_depth': 15, 'n_estimators': 250}
0.881 (+/-0.022) for {'learning_rate': 0.5, 'max_depth': 15, 'n_estimators': 300}
0.880 (+/-0.019) for {'learning_rate': 0.5, 'max_depth': 15, 'n_estimators': 400}
0.880 (+/-0.022) for {'learning_rate': 0.5, 'max_depth': 15, 'n_estimators': 500}
0.869 (+/-0.026) for {'learning_rate': 1, 'max_depth': 5, 'n_estimators': 50}
0.874 (+/-0.026) for {'learning_rate': 1, 'max_depth': 5, 'n_estimators': 100}
0.881 (+/-0.020) for {'learning_rate': 1, 'max_depth': 5, 'n_estimators': 200}
0.882 (+/-0.023) for {'learning_rate': 1, 'max_depth': 5, 'n_estimators': 250}
0.882 (+/-0.025) for {'learning_rate': 1, 'max_depth': 5, 'n_estimators': 300}
0.882 (+/-0.022) for {'learning_rate': 1, 'max_depth': 5, 'n_estimators': 400}
0.882 (+/-0.021) for {'learning_rate': 1, 'max_depth': 5, 'n_estimators': 500}
0.876 (+/-0.023) for {'learning_rate': 1, 'max_depth': 10, 'n_estimators': 50}
0.876 (+/-0.022) for {'learning_rate': 1, 'max_depth': 10, 'n_estimators': 100}
0.881 (+/-0.015) for {'learning_rate': 1, 'max_depth': 10, 'n_estimators': 200}
0.881 (+/-0.018) for {'learning_rate': 1, 'max_depth': 10, 'n_estimators': 250}
0.881 (+/-0.017) for {'learning_rate': 1, 'max_depth': 10, 'n_estimators': 300}
0.880 (+/-0.020) for {'learning_rate': 1, 'max_depth': 10, 'n_estimators': 400}
0.880 (+/-0.019) for {'learning_rate': 1, 'max_depth': 10, 'n_estimators': 500}
0.878 (+/-0.025) for {'learning_rate': 1, 'max_depth': 15, 'n_estimators': 50}
0.879 (+/-0.031) for {'learning_rate': 1, 'max_depth': 15, 'n_estimators': 100}
0.881 (+/-0.028) for {'learning_rate': 1, 'max_depth': 15, 'n_estimators': 200}
0.881 (+/-0.027) for {'learning_rate': 1, 'max_depth': 15, 'n_estimators': 250}
0.882 (+/-0.028) for {'learning_rate': 1, 'max_depth': 15, 'n_estimators': 300}
0.881 (+/-0.028) for {'learning_rate': 1, 'max_depth': 15, 'n_estimators': 400}
0.881 (+/-0.026) for {'learning_rate': 1, 'max_depth': 15, 'n_estimators': 500}
